ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-08-24T00:00:00.000000Z,34,2,9656,125.18636650575436,125.27148823424372,120.5562342783823,122.4238510131836,345937600,AAPL
2020-08-25T00:00:00.000000Z,34,2,9656,121.29547053607867,121.76480505707879,119.69534572328152,121.41948699951172,211495600,AAPL
2020-08-26T00:00:00.000000Z,34,2,9656,122.73753168290901,123.52786489142996,121.66997034058484,123.07068634033203,163022400,AAPL
2020-08-27T00:00:00.000000Z,34,2,9656,123.67374620377132,124.00690078619527,120.45404598034499,121.59942626953125,155552400,AAPL
2020-08-28T00:00:00.000000Z,34,2,9656,122.57457729408102,122.9928461715313,121.17872987082973,121.40245819091797,187630000,AAPL
2020-08-31T00:00:00.000000Z,34,2,9656,124.09934102961832,127.42603418683149,122.56244509573105,125.51950073242188,225702700,AAPL
2020-09-01T00:00:00.000000Z,34,2,9656,129.13804450192882,131.12239765919617,126.96888738067553,130.51930236816406,151948100,AAPL
2020-09-02T00:00:00.000000Z,34,2,9656,133.83620267880957,134.21556192546163,123.53512749914938,127.81507873535156,200119000,AAPL
2020-09-03T00:00:00.000000Z,34,2,9656,123.44761726135523,125.32495545599747,117.21249271726687,117.58212280273438,257599600,AAPL
2020-09-04T00:00:00.000000Z,34,2,9656,116.79420167043143,120.32516387877968,107.86465382582075,117.65991973876953,332607200,AAPL
2020-09-08T00:00:00.000000Z,34,2,9656,110.841180367367,115.74367852876145,109.60583213787987,109.74201202392578,231366600,AAPL
2020-09-09T00:00:00.000000Z,34,2,9656,114.06087149467038,115.88957796939238,112.11543623257383,114.11923217773438,176940500,AAPL
2020-09-10T00:00:00.000000Z,34,2,9656,117.07631964504925,117.21249954875044,109.43075684011971,110.39374542236328,182274400,AAPL
2020-09-11T00:00:00.000000Z,34,2,9656,111.44427369473487,112.08627097984936,106.9989538192749,108.94438934326172,180860300,AAPL
2020-09-14T00:00:00.000000Z,34,2,9656,111.59017641083511,112.76716394445175,109.72256019656312,112.21271514892578,140150100,AAPL
