ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-08-23T09:30:00.000000Z,34,2,497,178.52000427246094,180.38999938964844,178.3249969482422,180.10499572753906,13320694,AAPL
2023-08-23T10:30:00.000000Z,34,2,497,180.11000061035156,181.3311004638672,180.07000732421875,181.14999389648438,7840729,AAPL
2023-08-23T11:30:00.000000Z,34,2,497,181.14999389648438,181.30999755859375,180.6300048828125,180.72999572753906,5073177,AAPL
2023-08-23T12:30:00.000000Z,34,2,497,180.72999572753906,181.2899932861328,180.6300048828125,181.24000549316406,3589783,AAPL
2023-08-23T13:30:00.000000Z,34,2,497,181.2321014404297,181.5500030517578,180.89059448242188,181.05999755859375,4297276,AAPL
2023-08-23T14:30:00.000000Z,34,2,497,181.06910705566406,181.5399932861328,180.8000030517578,181.53500366210938,4033888,AAPL
2023-08-23T15:30:00.000000Z,34,2,497,181.53500366210938,181.5399932861328,181.0,181.13999938964844,5637981,AAPL
2023-08-24T09:30:00.000000Z,34,2,497,180.6739959716797,181.10400390625,178.38999938964844,178.40199279785156,11377763,AAPL
2023-08-24T10:30:00.000000Z,34,2,497,178.40989685058594,178.45620727539062,177.64999389648438,178.125,7199973,AAPL
2023-08-24T11:30:00.000000Z,34,2,497,178.1199951171875,178.3000030517578,177.5,178.05990600585938,4445092,AAPL
2023-08-24T12:30:00.000000Z,34,2,497,178.0500030517578,178.30999755859375,177.68060302734375,177.74000549316406,2987748,AAPL
2023-08-24T13:30:00.000000Z,34,2,497,177.72999572753906,177.92999267578125,177.42999267578125,177.5240020751953,3324350,AAPL
2023-08-24T14:30:00.000000Z,34,2,497,177.52000427246094,177.63999938964844,176.8000030517578,176.82000732421875,5186796,AAPL
2023-08-24T15:30:00.000000Z,34,2,497,176.82000732421875,176.88999938964844,176.00999450683594,176.3300018310547,7256991,AAPL
2023-08-25T09:30:00.000000Z,34,2,497,177.3800048828125,178.6300048828125,176.82000732421875,177.00999450683594,9715105,AAPL
2023-08-25T10:30:00.000000Z,34,2,497,177.01499938964844,177.41000366210938,175.8699951171875,177.36000061035156,7324319,AAPL
