ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-08-23 08:00:00,agg,polygon,SPY,414.18,414.88,414.08,414.08,65545.0,SPY
2022-08-23 09:00:00,agg,polygon,SPY,414.11,414.49,413.68,414.49,90035.0,SPY
2022-08-23 10:00:00,agg,polygon,SPY,414.39,414.39,413.49,413.84,142106.0,SPY
2022-08-23 11:00:00,agg,polygon,SPY,413.74,414.2,413.35,414.09,228007.0,SPY
2022-08-23 12:00:00,agg,polygon,SPY,413.81,414.72,411.75,413.12,426420.0,SPY
2022-08-23 13:00:00,agg,polygon,SPY,413.02,414.51,412.35,413.88,6173491.0,SPY
2022-08-23 14:00:00,agg,polygon,SPY,413.88,415.42,412.77,412.8999,8433923.0,SPY
2022-08-23 15:00:00,agg,polygon,SPY,412.91,413.55,412.03,412.95,5825544.0,SPY
2022-08-23 16:00:00,agg,polygon,SPY,412.96,413.21,411.77,413.0909,5349159.0,SPY
2022-08-23 17:00:00,agg,polygon,SPY,413.092,413.61,412.05,412.46,4121637.0,SPY
2022-08-23 18:00:00,agg,polygon,SPY,412.48,413.29,412.18,412.82,4036249.0,SPY
2022-08-23 19:00:00,agg,polygon,SPY,412.83,413.51,412.14,412.33,9924522.0,SPY
2022-08-23 20:00:00,agg,polygon,SPY,412.33,412.7427,411.98,412.02,3415523.0,SPY
2022-08-23 21:00:00,agg,polygon,SPY,412.01,412.2,411.99,412.05,37891.0,SPY
2022-08-23 22:00:00,agg,polygon,SPY,412.02,412.36,411.99,412.33,82583.0,SPY
2022-08-23 23:00:00,agg,polygon,SPY,412.33,412.51,412.0,412.1,72310.0,SPY
2022-08-24 08:00:00,agg,polygon,SPY,411.15,412.79,411.13,412.48,72698.0,SPY
2022-08-24 09:00:00,agg,polygon,SPY,412.67,412.79,411.98,412.05,86730.0,SPY
2022-08-24 10:00:00,agg,polygon,SPY,412.02,412.38,411.79,411.85,97678.0,SPY
2022-08-24 11:00:00,agg,polygon,SPY,411.85,413.23,411.85,413.0,205248.0,SPY
2022-08-24 12:00:00,agg,polygon,SPY,412.01,413.45,410.86,412.62,531947.0,SPY
2022-08-24 13:00:00,agg,polygon,SPY,412.63,412.68,411.39,412.2777,4468186.0,SPY
2022-08-24 14:00:00,agg,polygon,SPY,412.28,413.63,411.8786,413.08,6718675.0,SPY
2022-08-24 15:00:00,agg,polygon,SPY,413.1,415.1101,412.98,414.7,5686237.0,SPY
2022-08-24 16:00:00,agg,polygon,SPY,414.7093,415.0,412.78,413.08,4872146.0,SPY
2022-08-24 17:00:00,agg,polygon,SPY,413.08,413.53,412.47,413.08,3655741.0,SPY
2022-08-24 18:00:00,agg,polygon,SPY,413.08,413.45,412.7,413.35,3962543.0,SPY
2022-08-24 19:00:00,agg,polygon,SPY,413.345,414.46,413.2299,413.63,10091538.0,SPY
